عدد التصاريح من نسك,نوع التصريح,الجنس,اليوم
16581,روضة رجال,ذكر,1444/6/19
13944,روضة رجال,ذكر,1444/4/21
14462,روضة رجال,ذكر,1444/5/19
42395,عمرة,ذكر,1444/5/1
18711,روضة نساء,أنثى,1444/6/26
12172,روضة رجال,ذكر,1444/3/23
18293,عمرة,أنثى,1444/6/11
17713,روضة نساء,أنثى,1444/6/29
12700,عمرة,ذكر,1444/3/6
11293,روضة رجال,ذكر,1444/3/9
21421,عمرة,ذكر,1444/5/24
15384,روضة رجال,ذكر,1444/3/26
26603,عمرة,أنثى,1444/5/6
18674,روضة نساء,أنثى,1444/6/19
24684,عمرة,ذكر,1444/6/29
13771,روضة نساء,أنثى,1444/5/11
14427,عمرة,ذكر,1444/2/30
39544,عمرة,ذكر,1444/4/16
54327,عمرة,ذكر,1444/6/20
23570,عمرة,ذكر,1444/4/25
20224,عمرة,ذكر,1444/6/11
20860,عمرة,ذكر,1444/6/16
16624,روضة رجال,ذكر,1444/6/26
15649,روضة نساء,أنثى,1444/4/2
14013,روضة نساء,أنثى,1444/6/27
35852,عمرة,أنثى,1444/7/4
26112,عمرة,أنثى,1444/2/25
16586,روضة رجال,ذكر,1444/8/7
16784,روضة رجال,ذكر,1444/6/1
18464,روضة نساء,أنثى,1444/6/1
18663,روضة نساء,أنثى,1444/7/9
16640,روضة رجال,ذكر,1444/7/7
17565,روضة نساء,أنثى,1444/8/2
39936,عمرة,ذكر,1444/8/3
17280,روضة نساء,أنثى,1444/5/27
26168,عمرة,أنثى,1444/7/15
17569,روضة نساء,أنثى,1444/5/2
24878,عمرة,أنثى,1444/5/4
14612,روضة نساء,أنثى,1444/4/4
28738,عمرة,أنثى,1444/7/9
23371,عمرة,أنثى,1444/8/5
34975,عمرة,ذكر,1444/6/12
13213,روضة رجال,ذكر,1444/4/3
16645,روضة رجال,ذكر,1444/8/2
31323,عمرة,أنثى,1444/4/30
29633,عمرة,أنثى,1444/8/10
17862,عمرة,ذكر,1444/5/12
26506,عمرة,ذكر,1444/7/17
29447,عمرة,ذكر,1444/6/22
21870,عمرة,ذكر,1444/8/1
30107,عمرة,ذكر,1444/7/6
10656,عمرة,أنثى,1444/3/21
33556,عمرة,ذكر,1444/8/12
18369,روضة نساء,أنثى,1444/7/8
12837,روضة نساء,أنثى,1444/7/19
12846,روضة نساء,أنثى,1444/7/26
145520,عمرة,ذكر,1444/9/16
32813,عمرة,ذكر,1444/8/13
15844,عمرة,أنثى,1444/5/17
24778,عمرة,أنثى,1444/7/10
12190,روضة نساء,أنثى,1444/9/16
13668,روضة رجال,ذكر,1444/8/4
99967,عمرة,أنثى,1444/9/17
16923,روضة نساء,أنثى,1444/9/7
16635,روضة رجال,ذكر,1444/7/14
92900,عمرة,أنثى,1444/9/6
98045,عمرة,أنثى,1444/9/15
20782,عمرة,أنثى,1444/8/4
16840,روضة نساء,أنثى,1444/9/15
